/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/people/formatters.ts: line 37, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/people/notes.ts: line 30, col 21, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/people/relationships.ts: line 30, col 51, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/prompts.ts: line 17, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/prompts.ts: line 19, col 23, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/prompts.ts: line 26, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/resource-specific-tools.ts: line 26, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/batch-search.ts: line 17, col 10, Warning - 'RATE_LIMITS' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/batch-search.ts: line 44, col 55, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/batch-search.ts: line 81, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 20, col 3, Warning - 'getAttributeSchema' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/kesslerio/GDrive/Projects/attio-mcp-server/src/handlers/tool-configs/universal/core-operations.ts: line 21, col 3, Warning - 'getSelectOptions' is defined but never used. (@typescript-eslint/no-unused-vars)
